,Cerebral Infarction,Brain Tumors,Dementia with Lewy Bodies,Epilepsy,Asthma,Chronic Heart Failure,Hypertension,Primary Sclerosing Cholangitis,Cholesterol Gallstone Disease,Chronic Enteropathies,Ulcerative Colitis,Acute Pancreatitis,Idiopathic Inflammatory Bowel Disease,Chronic Kidney Disease,Nephrolithiasis,Autoimmune Disease,Diabetes Mellitus,Cushing's Syndrome,Alimentary Small Cell Lymphoma,Osteoarthritis,Atopic Dermatitis,Food Allergy,Glaucoma,Diarrhea,Acute Diarrhea,Chronic Enteropathy,Obesity,Constipation,Dysbiosis,HealthyDistance,Diversity
20230210_BC19,0.0,-0.0238155727225505,0.04786427216330914,-0.06915146600327188,-0.0177070788043226,0.24523610247266392,-0.06478319286059628,0.06721152249802899,0.16358982832628313,0.2900655210408875,0.08668433451400606,0.24987382718191928,0.15461095082615942,0.02189194366865442,-0.012008669601890842,0.0018035511048857013,0.17041219015833745,0.14458901078581454,0.22666197830289983,-0.010710641035201916,-0.03627265887951114,-0.015360204446544009,0.35683656765985367,0.012832801622874541,-1.014625049018254,0.3217817741888539,-0.166400372770544,-0.02253571108019671,1.3316177651643217,-10.712871343690182,3.253217425700312
20230210_BC52,0.0,-0.039877854339917626,0.005388613119527071,-0.017611419732922858,-0.01748691686885945,0.08320362096698553,-0.09290174365479457,0.0523655877539543,0.07388622856558937,0.13117650754802584,0.07436087431959684,0.19602634304078892,0.08901284744670426,0.036154013111214654,0.08754724312934282,0.009377515486100056,0.45588660226899363,0.058229331627348536,0.3470226020070264,-0.007189188363337521,-0.009385114780203334,-0.030473560575997302,0.13664634391845665,0.08101329952176532,-1.842108826591581,0.05218090395224684,-0.295996312127685,0.05145483745961987,0.16152558952490825,-14.58010571504355,1.8489629170498736
20230210_BC38,0.0,-0.06217642933002947,0.01278288753772612,-0.12032435155958682,-0.5441656144978185,0.26271467398270715,-0.08545836189003257,0.030826845993196374,0.103438892235752,0.28301564613650226,0.04220881389032572,0.25085312964210754,0.17465793798891238,0.03198394849157995,0.00012561340399676956,-0.0,0.2573058240647929,0.18180665953851638,0.21864352956734523,-0.04886310065124592,-0.024005586132348225,0.060308266767676914,0.4172889470857228,0.024380477274852583,-1.4640879062576246,0.1581203146599285,-0.30744320060632546,-0.023115684547885738,-0.2190164776938517,-10.594087440202895,3.8477048140657897
20230210_BC39,0.0,0.0575689117662238,0.09627607272011163,-0.11361616623946375,-0.04835957912187718,0.2749489933569641,-0.06392586158854568,0.04255739207173481,0.17868132622609753,0.25550090384462737,0.05247600693637849,0.2774872988327561,0.31262208183696366,0.009405020001832175,-0.09833507433765663,0.01672537527065896,0.1570980825422921,0.1419797693286048,0.2848874509950664,-0.012847547087828277,-0.0360141508066156,-0.01924040092425374,0.39827610635606414,-0.025367718415332165,-1.5154833404514947,0.2289954687923547,-0.29024217236774535,-0.03391007751123196,1.2470053180082046,-10.198735701249015,3.641193771392695
20230210_BC54,0.0,-0.12090079029336251,0.0031733827101436195,0.004674044677144423,-0.0,0.09996117889306877,-0.14025564335406032,0.005466562508131114,0.008150782391214636,0.18161886495633653,0.135692647884773,0.1696051627072028,0.19975326433071544,0.039762357460895244,-0.024629476523332014,0.0023077092906679743,0.38101637421876156,0.06081634640011031,0.410285392767733,-0.0030742287488979806,-0.025322747229940063,-0.02210813823482373,0.1705853632174941,0.009476471008226621,-1.7806415140204246,0.000256866576674956,-0.37920631636597707,-0.11567028842331573,0.25737686586087927,-14.38470400856175,2.7568945359991206
20230210_BC42,0.0,-0.13370385562686546,0.055020405784181284,-0.11610994781115279,-0.03179034198756253,0.17817180857325016,-0.052887779464520966,0.05505110501820123,0.18783571308453068,0.2746237006893114,0.13629886973070188,0.1536981908409776,0.23353709499921554,0.006553525415308665,-0.1555411694719744,0.008790415387021418,0.008155463826225201,0.09666277180028435,0.1626835813422368,-0.014348867737938866,-0.029774027800787115,0.02889791874929446,0.2988136219075299,0.05405667217505929,-1.636607851810394,0.2617361715261289,-0.23720941805709236,0.016564075465832107,0.6325998303579028,-12.522518654546012,3.119152271531618
20230210_BC55,0.0,0.09274999952431558,0.02724208106097042,-0.04147808135323742,-0.0007792273987389368,0.05097596472239408,-0.11018122791593632,-0.020634834260952733,0.008845482464040435,0.1531222238953898,0.11244013530199878,0.20668567251083395,0.1895889336310535,0.013700458559666935,0.10300556900327086,0.010022506538385963,0.4519618188230105,0.019234372040595412,0.4758033213668364,-0.005425457597809015,-0.017081833139508822,-0.043286391510354114,0.054747896258566485,0.05542093062651843,-1.8444964112844262,0.0025721099355506833,-0.354056202531341,0.036583207975480564,0.014653432214565162,-15.092118251252844,1.785537558360071
20230210_BC25,0.0,-0.07638797993178624,0.011704032403530436,-0.029042889359674702,-0.26616200017964997,0.1370172891582727,-0.12570934049116117,-0.0006280887148819972,0.10293327285146432,0.1983235493385482,0.09433934200826256,0.20636801861832382,0.1930649323211216,0.01609611860163036,-0.0047446458644450846,0.05319557614683399,0.4017644341326243,0.07600926257200749,0.362563598888024,-0.004415955908644617,-0.031403751696289076,-0.02963108672969265,0.19832015871058886,0.01785303827539394,-1.779849160605177,0.10639901401440212,-0.3666067631597452,-0.025780215577424298,0.2522790160453459,-12.252320321501664,3.004803121989122
20230210_BC06,0.0,-0.03579790461913165,0.018380129623476266,-0.010109214946752617,-0.0008033120724464404,0.10424870800036176,-0.12448119414469519,0.023007443182275843,0.10276075700587652,0.18089975768252986,0.0612102073263194,0.20875294499152736,0.18073946031178498,0.03658546881912007,-0.004882961988838766,0.022713179142013408,0.42985155676640036,0.05080616923365613,0.35731823659685863,-0.0024054922670894508,-0.02810131792319191,-0.03429218526962157,0.16281193051802906,0.013067677024135072,-1.8588015422156379,0.11782009639184314,-0.35988329268978203,-0.029891595335778075,0.36924494909571537,-13.434211224497526,2.468263610591526
20230210_BC26,0.0,4.523096238322373e-05,0.015998001028909203,-0.006687679818185095,-0.005323716512190717,0.0601994558631009,-0.09645185165556164,0.025914893077818812,0.03378458979423608,0.08660402284134498,0.07387033056259837,0.19401077254269092,0.058964893715051016,0.015245076202853107,0.1461702206500173,-0.0,0.471338023252283,0.05848688641437708,0.3672207100426312,-0.0017818331019965805,-0.009944317196613714,-0.04829175851498334,0.09697608190740231,0.06464400721828273,-1.8912102269938105,0.02746085482650446,-0.32326317342053795,0.005491268636792317,0.24014049586609493,-11.937311235027655,1.21525785660293
20230210_BC10,0.0,0.020845884328926454,0.008958534483747225,-0.03200616539556389,-0.006279065741897842,0.0845548113646766,-0.0940298395211779,0.026704244148877534,0.0133398953140397,0.09442481353890692,0.13591055716784012,0.19918309147983773,0.14326240276155464,0.020819979951811902,0.08157987263818506,0.001052835623266473,0.46962277979425626,0.03538163277660466,0.4130252976466455,-0.0031508806789581597,-0.010311398709294045,-0.0015532854304619221,0.11484227192486225,0.07183145793693584,-1.908498032422194,0.018758542227315354,-0.32886053641917135,0.0860694672710957,0.04541607648193594,-11.690342579856647,1.398649254021426
20230210_BC51,0.0,-0.0018455637094712863,0.03603499490108308,-0.017221242615277285,-0.0008265508497696051,0.1275072892839386,-0.10443178578662296,0.07491090545412062,0.11660428705861935,0.17080027111176274,0.03242884360049821,0.23440394398165265,0.13611125767712753,0.05167262747722866,0.053928656304133175,0.0032968065394257647,0.4389940681020935,0.07517432305036229,0.31994426732836645,-0.004117112549703064,-0.01900368030080866,-0.04745247097198309,0.20282418437155356,0.02789959171187314,-1.816039344702478,0.15222266751450517,-0.3114362264009238,-0.01425994787852184,0.34398552007904093,-12.743966810725942,2.326473128727222
20230210_BC01,0.0,-0.1393431029953093,0.042517533661330924,-0.046556064668698896,-0.04049372933022296,0.20365063325245167,-0.09175269753910523,-0.0924032571003829,0.0991629880373347,0.011325727473585678,0.07176447885485594,0.16381067899275217,0.16390236438095476,0.09569399864275693,-0.008900385382070893,0.10670667862988992,0.31415537339667554,0.11565012026199241,0.04881952625554501,-1.3796303758660644,-0.021822916904564445,0.02256757433990903,0.26889109043848136,-0.13920979608525588,-1.4452450884900343,0.08365519128142866,-0.2936119744798988,0.01950246349247608,-0.2771027461821775,-9.882164425251911,3.2971589658900053
